Vocabulary,Model,Accuracy,F1_macro,TrainTime_s,TestTime_s,ModelSize_KB,NumFeatures,TFIDF_TrainTime_s,TFIDF_TestTime_s,NumParams
2000,LogisticRegression,0.8018699910952805,0.48129585262066005,3.321038246154785,0.0026013851165771484,720.2880859375,2000,0.42745208740234375,0.11125850677490234,
2000,LinearSVC,0.8263579697239537,0.6605074085594125,1.8926515579223633,0.002473592758178711,720.1591796875,2000,0.42745208740234375,0.11125850677490234,
2000,RandomForest,0.7742653606411398,0.47625651758651466,6.516391754150391,0.06556415557861328,323617.0712890625,2000,0.42745208740234375,0.11125850677490234,
2000,XGBoost,0.8107747105966162,0.6226866949615859,154.93123364448547,0.07160711288452148,10825.115234375,2000,0.42745208740234375,0.11125850677490234,
2000,NaiveBayes,0.6963490650044524,0.17281527688795356,0.009591817855834961,0.0023496150970458984,1439.3037109375,2000,0.42745208740234375,0.11125850677490234,
2000,LightGBM,0.3468388245770258,0.011859685772729252,24.160738706588745,0.049741506576538086,4022.34765625,2000,0.42745208740234375,0.11125850677490234,
2000,DecisionTree,0.6954585930543188,0.4418121837220702,3.5134873390197754,0.0013289451599121094,1265.9931640625,2000,0.42745208740234375,0.11125850677490234,
2000,DenseNN,0.7907390917186109,0.5864568836371811,19.032224655151367,3.3614766597747803,12876.453125,2000,0.42745208740234375,0.11125850677490234,1096110.0
5000,LogisticRegression,0.7978628673196795,0.47702215143011023,3.9324655532836914,0.003906726837158203,1798.4130859375,5000,0.45539355278015137,0.11902475357055664,
5000,LinearSVC,0.8299198575244879,0.684042935907359,2.215397834777832,0.003264904022216797,1798.2841796875,5000,0.45539355278015137,0.11902475357055664,
5000,RandomForest,0.7653606411398041,0.4433613484383406,9.524401664733887,0.08679628372192383,356979.7900390625,5000,0.45539355278015137,0.11902475357055664,
5000,XGBoost,0.8125556544968834,0.6512989071076906,200.93809819221497,0.06808090209960938,10743.4423828125,5000,0.45539355278015137,0.11902475357055664,
5000,NaiveBayes,0.6745325022261799,0.11069112537451643,0.013929128646850586,0.002694368362426758,3595.5537109375,5000,0.45539355278015137,0.11902475357055664,
5000,LightGBM,0.1861086375779163,0.008492050321553164,29.710639238357544,0.0561680793762207,4447.22265625,5000,0.45539355278015137,0.11902475357055664,
5000,DecisionTree,0.6883348174532502,0.4432490923384048,4.793087959289551,0.002276182174682617,1250.8056640625,5000,0.45539355278015137,0.11902475357055664,
5000,DenseNN,0.8036509349955476,0.6164065355158049,16.63911533355713,1.7594480514526367,30876.453125,5000,0.45539355278015137,0.11902475357055664,2632110.0
10000,LogisticRegression,0.7956366874443455,0.4721138497182076,5.017104148864746,0.0041615962982177734,3476.6943359375,9670,0.4575376510620117,0.1187140941619873,
10000,LinearSVC,0.8299198575244879,0.6808429075185041,0.8959553241729736,0.0033113956451416016,3476.5654296875,9670,0.4575376510620117,0.1187140941619873,
10000,RandomForest,0.757346393588602,0.4475958385042315,13.751647233963013,0.0866098403930664,386640.9775390625,9670,0.4575376510620117,0.1187140941619873,
10000,XGBoost,0.8107747105966162,0.6293940034067693,286.3421275615692,0.08131718635559082,10744.732421875,9670,0.4575376510620117,0.1187140941619873,
10000,NaiveBayes,0.6567230632235085,0.09672807335440754,0.018455028533935547,0.004627227783203125,6952.1162109375,9670,0.4575376510620117,0.1187140941619873,
10000,LightGBM,0.39982190560997327,0.02439743751125569,31.27233099937439,0.059333086013793945,4875.91015625,9670,0.4575376510620117,0.1187140941619873,
10000,DecisionTree,0.6967943009795191,0.46028302209872807,4.496387958526611,0.001386404037475586,1224.6494140625,9670,0.4575376510620117,0.1187140941619873,
10000,DenseNN,0.808993766696349,0.6249076554159986,18.14472532272339,1.7631981372833252,58896.453125,9670,0.4575376510620117,0.1187140941619873,5023150.0
All,LogisticRegression,0.7956366874443455,0.4721138497182076,5.649159908294678,0.0041348934173583984,3476.6943359375,9670,0.9117512702941895,0.1080787181854248,
All,LinearSVC,0.8299198575244879,0.6808429075185041,0.7098608016967773,0.0034470558166503906,3476.5654296875,9670,0.9117512702941895,0.1080787181854248,
All,RandomForest,0.757346393588602,0.4475958385042315,13.08484697341919,0.0882577896118164,386640.9775390625,9670,0.9117512702941895,0.1080787181854248,
All,XGBoost,0.8107747105966162,0.6293940034067693,295.45103335380554,0.08796048164367676,10744.732421875,9670,0.9117512702941895,0.1080787181854248,
All,NaiveBayes,0.6567230632235085,0.09672807335440754,0.018122196197509766,0.0034399032592773438,6952.1162109375,9670,0.9117512702941895,0.1080787181854248,
All,LightGBM,0.39982190560997327,0.02439743751125569,31.95018243789673,0.0866703987121582,4875.87890625,9670,0.9117512702941895,0.1080787181854248,
All,DecisionTree,0.6967943009795191,0.46028302209872807,4.5228447914123535,0.0018188953399658203,1224.6494140625,9670,0.9117512702941895,0.1080787181854248,
All,DenseNN,0.808993766696349,0.61730463696954,16.04696798324585,1.1546804904937744,58896.453125,9670,0.9117512702941895,0.1080787181854248,5023150.0
