class,focal_epoch_5,two_stage_pipeline,delta
협박,0.9186,0.8933717579250721,-0.02522824207492791
갈취,0.899,0.884318766066838,-0.014681233933162008
직장내괴롭힘,0.9634,0.9489795918367347,-0.014420408163265286
기타괴롭힘,0.8794,0.8856447688564477,0.006244768856447758
일반대화,0.9899,0.9974937343358395,0.0075937343358395415
