run_id,run_time,remove_duplicates,vocab_size,tokenizer_num_words,batch_size,embedding_size,hidden_size,dropout,recurrent_dropout,learning_rate_start,train_size,val_size,train_tensor_shape,val_tensor_shape,epoch,loss,val_loss,learning_rate,max_len,clipnorm
20260316_055528,2026-03-16 05:55:28,True,12001,12000,16,256,768,0.1,0.0,0.001,81810,20453,"(81810, 14)","(20453, 14)",1,3.3015825748443604,3.057448625564575,0.0010000000474974,,
20260316_055528,2026-03-16 05:55:28,True,12001,12000,16,256,768,0.1,0.0,0.001,81810,20453,"(81810, 14)","(20453, 14)",2,2.989140272140503,2.994598388671875,0.0010000000474974,,
20260316_055528,2026-03-16 05:55:28,True,12001,12000,16,256,768,0.1,0.0,0.001,81810,20453,"(81810, 14)","(20453, 14)",3,2.820591449737549,3.0244202613830566,0.0010000000474974,,
20260316_055528,2026-03-16 05:55:28,True,12001,12000,16,256,768,0.1,0.0,0.001,81810,20453,"(81810, 14)","(20453, 14)",4,2.6435117721557617,3.0698959827423096,0.0005000000237487,,
20260316_055528,2026-03-16 05:55:28,True,12001,12000,16,256,768,0.1,0.0,0.001,81810,20453,"(81810, 14)","(20453, 14)",5,2.531337022781372,3.0998637676239014,0.0002500000118743,,
20260316_062428,2026-03-16 06:24:28,False,12001,12000,32,256,768,0.1,0.0,0.001,124996,31250,"(124996, 14)","(31250, 14)",1,3.1976776123046875,2.963451385498047,0.0010000000474974,,
20260316_062428,2026-03-16 06:24:28,False,12001,12000,32,256,768,0.1,0.0,0.001,124996,31250,"(124996, 14)","(31250, 14)",2,2.859150648117065,2.8386223316192627,0.0010000000474974,,
20260316_062428,2026-03-16 06:24:28,False,12001,12000,32,256,768,0.1,0.0,0.001,124996,31250,"(124996, 14)","(31250, 14)",3,2.676454305648804,2.76912260055542,0.0010000000474974,,
20260316_062428,2026-03-16 06:24:28,False,12001,12000,32,256,768,0.1,0.0,0.001,124996,31250,"(124996, 14)","(31250, 14)",4,2.5134851932525635,2.7458605766296387,0.0010000000474974,,
20260316_062428,2026-03-16 06:24:28,False,12001,12000,32,256,768,0.1,0.0,0.001,124996,31250,"(124996, 14)","(31250, 14)",5,2.372519493103028,2.7290101051330566,0.0010000000474974,,
20260316_062428,2026-03-16 06:24:28,False,12001,12000,32,256,768,0.1,0.0,0.001,124996,31250,"(124996, 14)","(31250, 14)",6,2.248018980026245,2.738259792327881,0.0010000000474974,,
20260316_062428,2026-03-16 06:24:28,False,12001,12000,32,256,768,0.1,0.0,0.001,124996,31250,"(124996, 14)","(31250, 14)",7,2.1260335445404053,2.7176663875579834,0.0005000000237487,,
20260316_062428,2026-03-16 06:24:28,False,12001,12000,32,256,768,0.1,0.0,0.001,124996,31250,"(124996, 14)","(31250, 14)",8,2.0471413135528564,2.716887950897217,0.0005000000237487,,
20260316_062428,2026-03-16 06:24:28,False,12001,12000,32,256,768,0.1,0.0,0.001,124996,31250,"(124996, 14)","(31250, 14)",9,1.97458815574646,2.7304065227508545,0.0005000000237487,,
20260316_062428,2026-03-16 06:24:28,False,12001,12000,32,256,768,0.1,0.0,0.001,124996,31250,"(124996, 14)","(31250, 14)",10,1.911067247390747,2.7062666416168213,0.0002500000118743,,
20260316_062551,2026-03-16 06:25:51,False,12001,12000,32,256,768,0.1,0.0,0.001,124996,31250,"(124996, 14)","(31250, 14)",1,3.1976776123046875,2.963451385498047,0.0010000000474974,,
20260316_062551,2026-03-16 06:25:51,False,12001,12000,32,256,768,0.1,0.0,0.001,124996,31250,"(124996, 14)","(31250, 14)",2,2.859150648117065,2.8386223316192627,0.0010000000474974,,
20260316_062551,2026-03-16 06:25:51,False,12001,12000,32,256,768,0.1,0.0,0.001,124996,31250,"(124996, 14)","(31250, 14)",3,2.676454305648804,2.76912260055542,0.0010000000474974,,
20260316_062551,2026-03-16 06:25:51,False,12001,12000,32,256,768,0.1,0.0,0.001,124996,31250,"(124996, 14)","(31250, 14)",4,2.5134851932525635,2.7458605766296387,0.0010000000474974,,
20260316_062551,2026-03-16 06:25:51,False,12001,12000,32,256,768,0.1,0.0,0.001,124996,31250,"(124996, 14)","(31250, 14)",5,2.372519493103028,2.7290101051330566,0.0010000000474974,,
20260316_062551,2026-03-16 06:25:51,False,12001,12000,32,256,768,0.1,0.0,0.001,124996,31250,"(124996, 14)","(31250, 14)",6,2.248018980026245,2.738259792327881,0.0010000000474974,,
20260316_062551,2026-03-16 06:25:51,False,12001,12000,32,256,768,0.1,0.0,0.001,124996,31250,"(124996, 14)","(31250, 14)",7,2.1260335445404053,2.7176663875579834,0.0005000000237487,,
20260316_062551,2026-03-16 06:25:51,False,12001,12000,32,256,768,0.1,0.0,0.001,124996,31250,"(124996, 14)","(31250, 14)",8,2.0471413135528564,2.716887950897217,0.0005000000237487,,
20260316_062551,2026-03-16 06:25:51,False,12001,12000,32,256,768,0.1,0.0,0.001,124996,31250,"(124996, 14)","(31250, 14)",9,1.97458815574646,2.7304065227508545,0.0005000000237487,,
